date,tavg,tmin,tmax,prcp
11-03-2006,19.5,,23.6,5.1
12-03-2006,20.4,,26.3,2
13-03-2006,22.7,14.8,29.9,0
14-03-2006,23.4,16.3,31.7,
15-03-2006,22.9,17.9,31.7,2
16-03-2006,22.8,,31.5,0
17-03-2006,22.4,15.1,31.5,
18-03-2006,22.5,14.3,31.1,
19-03-2006,23.6,13.2,32.2,
20-03-2006,24.5,14.7,34.9,
21-03-2006,27,18.1,35.3,0
22-03-2006,25.1,17.2,35.3,
23-03-2006,25.9,16.1,,
24-03-2006,27,17.1,38.1,
25-03-2006,28.9,19.1,39,
26-03-2006,28.3,19.6,39,
27-03-2006,26.2,17.9,37.2,
28-03-2006,25.9,16,35.5,
29-03-2006,25.4,16.7,35.5,
30-03-2006,25.7,16.7,35.1,
31-03-2006,26.8,,36.2,
01-04-2006,26.2,17.7,36.5,
02-04-2006,29.5,17.5,39.3,
03-04-2006,29.2,19.9,39.3,
04-04-2006,29.9,19.5,39.3,
05-04-2006,29.6,20.5,39.1,
06-04-2006,30.5,20.7,40.2,
07-04-2006,31.3,21.6,41.1,
08-04-2006,30.2,21.3,41.1,
09-04-2006,31,20.9,39.9,
10-04-2006,30.9,23.7,38.7,
11-04-2006,31.5,21.8,39.5,
12-04-2006,32,20.7,40.1,
13-04-2006,29,19.6,40.1,
14-04-2006,29.8,17.7,39.5,
15-04-2006,31.2,18.6,41.7,
16-04-2006,31.3,20.4,41.7,
17-04-2006,28.1,,40.4,
18-04-2006,24.5,18.7,39.8,
19-04-2006,26.4,16.8,32.8,
20-04-2006,27.8,20,35.3,
21-04-2006,28.9,20.7,37.8,
22-04-2006,29.1,20.7,37.8,5.1
23-04-2006,30.5,21.8,39.5,0
24-04-2006,30.7,,39.5,0.5
25-04-2006,31.7,23.7,40.5,0
26-04-2006,31.7,24.6,40.5,
27-04-2006,32.8,20.4,40.1,
28-04-2006,31.7,,40.1,
29-04-2006,30.5,18.3,39.1,10.9
30-04-2006,33,24.5,40.5,0
01-05-2006,34.2,26.4,42.9,
02-05-2006,34.3,25.1,42.9,
03-05-2006,33,25.2,42.5,
04-05-2006,32.4,23.6,41.9,
05-05-2006,31.9,23.2,41.9,
06-05-2006,33.4,25.2,40.6,
07-05-2006,32.8,26.6,40.3,
08-05-2006,32,27.3,39,
09-05-2006,33,25.9,39.3,
10-05-2006,30.5,23.9,39.7,
11-05-2006,31.2,23.3,39.7,
12-05-2006,31.2,,37.3,
13-05-2006,28.6,24.2,37.3,0
14-05-2006,31.5,23.7,37.3,
15-05-2006,25.7,20,37.3,43.9
16-05-2006,30,21.7,36.1,2.3
17-05-2006,32,25.6,38,0
18-05-2006,32.5,25.9,,
19-05-2006,27,,38.9,
20-05-2006,27.9,21.6,36.9,
21-05-2006,30.4,24.5,36.6,
22-05-2006,31.4,24.8,36.6,
23-05-2006,30.8,25.6,36.5,
24-05-2006,31.7,25.3,37.2,
25-05-2006,32.5,27.1,38.2,
26-05-2006,32.8,28,38.5,
27-05-2006,32.4,26.2,38.5,
28-05-2006,28.5,,38.2,2
29-05-2006,30.9,24.6,36.1,0.5
30-05-2006,32.8,26.4,37.8,0
31-05-2006,34.6,28.6,41.1,
01-06-2006,33.1,28.5,41.1,
02-06-2006,30.4,,38.9,
03-06-2006,26.9,22.1,37.1,55.9
04-06-2006,27.6,22.2,32.1,82
05-06-2006,30.5,25.3,34.5,0.5
06-06-2006,31.5,26.7,37.3,0
07-06-2006,32.3,26.1,38.1,
08-06-2006,29.4,26.1,38.1,
09-06-2006,31.7,25.1,38.3,
10-06-2006,33.3,25.7,41.1,
11-06-2006,33.3,26.5,41.1,
12-06-2006,33.5,28.6,39.7,
13-06-2006,30.9,,,
14-06-2006,31.7,23.5,41.1,
15-06-2006,32.8,26.6,39.6,
16-06-2006,32.9,26.6,39.6,
17-06-2006,32.5,25.9,39.1,
18-06-2006,33.4,25.5,39.2,
19-06-2006,33.5,25.6,39.7,
20-06-2006,30,,39.7,0
21-06-2006,32.4,24.3,38.7,0
22-06-2006,32.8,27.3,38.7,
23-06-2006,34,27.3,38.9,
24-06-2006,33,28.1,38.9,
25-06-2006,30.5,,38.1,
26-06-2006,25.8,,36.9,
27-06-2006,29.3,23.6,33.8,
28-06-2006,27.8,,37.8,3
29-06-2006,29.6,25,34.5,0.8
30-06-2006,28.4,,34.5,0.5
01-07-2006,31.4,25.6,36.1,29
02-07-2006,29.7,,36.6,0
03-07-2006,32.5,26.2,37.1,3
04-07-2006,31.6,27.5,37.1,0
05-07-2006,30.6,27.3,35.7,
06-07-2006,31.9,26.1,37.5,0
07-07-2006,31.7,27.5,37.5,
08-07-2006,30.9,,36.4,
09-07-2006,27.6,24.3,36.4,141
10-07-2006,27.7,24.1,33.6,2
11-07-2006,28,23.7,33.6,0
12-07-2006,28.8,24.1,33.6,3
13-07-2006,28.5,25.5,33.6,7.1
14-07-2006,27.5,25,33.1,10.9
15-07-2006,28,24.7,31.3,3
16-07-2006,29.4,26.5,35.1,0.5
17-07-2006,31.3,26.3,35.7,2
18-07-2006,30.3,26.1,35.7,14
19-07-2006,29.9,25.9,34.9,18
20-07-2006,28.7,24.9,33.3,4.1
21-07-2006,29.7,25.5,32.6,13
22-07-2006,28.9,25.8,32.5,0
23-07-2006,29.6,25.6,34.3,0
24-07-2006,30.9,25.5,35.1,1
25-07-2006,28.6,,35.1,1
26-07-2006,28.6,25.5,,19.1
27-07-2006,26.8,23.9,32.7,74.9
28-07-2006,27.8,24.4,33.5,7.1
29-07-2006,29.3,24.6,34.6,7.9
30-07-2006,29.7,24.2,34.6,5.1
31-07-2006,30.3,25.1,34.1,3
01-08-2006,30.7,24.9,34.4,0
02-08-2006,27.9,,34.4,1
03-08-2006,29,24.6,33.9,5.1
04-08-2006,29.7,25.6,33.9,8.9
05-08-2006,28.7,25.7,33.3,0
06-08-2006,29.9,25.1,34.3,0
07-08-2006,29,25.2,34.3,
08-08-2006,29.7,24.3,33.1,
09-08-2006,30.5,25.1,34.5,
10-08-2006,29.9,25.7,,
11-08-2006,29.8,24.5,35.5,
12-08-2006,30.7,25.7,,
13-08-2006,31.4,24.7,36.9,
14-08-2006,30.5,26.9,35.9,
15-08-2006,30.9,26.6,35.3,
16-08-2006,31.5,26.6,36.5,
17-08-2006,31,26.6,36.7,1
