date,tavg,tmin,tmax,prcp
25-03-2006,25.8,19.1,32.2,
26-03-2006,24.8,19.7,31,
27-03-2006,22.7,16.1,29.5,
28-03-2006,22.4,14.3,28.8,
29-03-2006,23.8,15.6,31.3,
30-03-2006,25.1,16.3,32.2,
31-03-2006,25.8,16.5,33.9,
01-04-2006,27.4,18.3,37,
02-04-2006,28.2,17.5,37.9,
03-04-2006,29.4,18.9,36.1,
04-04-2006,28.1,18.2,36.2,
05-04-2006,29,20.2,37.4,
06-04-2006,30.2,20.4,38.5,
07-04-2006,29.6,20.1,39.1,
08-04-2006,30,19.3,,
09-04-2006,33.2,21.4,40.4,
10-04-2006,30.3,23.4,36,
11-04-2006,27.7,19.5,,
12-04-2006,27,17.6,35.2,
13-04-2006,26.6,17.8,35,
14-04-2006,27.4,14.3,36.9,
15-04-2006,30,16.4,39.7,
16-04-2006,29.7,20,38.2,
17-04-2006,26.8,18.6,32.2,
18-04-2006,26.7,17.1,32.8,
19-04-2006,26.5,19.5,33.4,
20-04-2006,28.1,17.5,35.4,0
21-04-2006,28.7,20.9,34.8,
22-04-2006,29.8,20,37.5,0
23-04-2006,30.7,22,38.7,
24-04-2006,30.1,19.9,39,2.3
25-04-2006,32.2,19.5,40.4,0
26-04-2006,32.9,25.1,40.6,
27-04-2006,33.9,24.3,42,
28-04-2006,32.7,,40.5,
29-04-2006,34.8,24.7,42.1,
30-04-2006,33.1,27.2,39.3,
01-05-2006,34.3,23,41.1,
02-05-2006,34.3,26.5,40,
03-05-2006,32.3,21.2,39.8,
04-05-2006,32.3,21.3,41.1,
05-05-2006,34.7,22.9,43.8,
06-05-2006,35.1,23.8,44.5,
07-05-2006,35.8,25.7,44.4,
08-05-2006,35.4,27.8,41.4,
09-05-2006,34.1,23.7,39.7,
10-05-2006,34.5,27.7,40.8,
11-05-2006,33.8,27,40.2,
12-05-2006,33.8,25.8,41.3,
13-05-2006,34.6,24.9,41.5,
14-05-2006,32.7,24.9,39.7,
15-05-2006,32.5,19,38,21.1
16-05-2006,32.6,25.2,38.7,0
17-05-2006,30.7,23.7,36,
18-05-2006,32.9,24.5,39,
19-05-2006,30.1,23.6,37.2,1
20-05-2006,29.4,22.1,37.6,0.5
21-05-2006,30.6,19.2,37.6,10.9
22-05-2006,30.6,23.8,35.6,0
23-05-2006,29.7,19,35,23.1
24-05-2006,34.3,25,39.6,0
25-05-2006,34.4,25.5,39.5,0.5
26-05-2006,35.2,27.7,41.1,0
27-05-2006,33.8,27.4,39.6,
28-05-2006,33.7,26.2,40.3,
29-05-2006,33.4,25.3,39,
30-05-2006,35.1,26.8,41.1,
31-05-2006,34,27.8,42,
01-06-2006,34.2,22.4,41,
02-06-2006,29.4,,31.7,
03-06-2006,27.2,21.3,31.1,
04-06-2006,30.3,22.3,36.4,
05-06-2006,32.7,24.6,38.3,
06-06-2006,33.6,25.5,40,
07-06-2006,34.3,25.2,40.4,
08-06-2006,34.7,25.9,41.3,
09-06-2006,34.8,24.6,42.8,
10-06-2006,35.7,26.7,43.4,
11-06-2006,37.1,28.2,43.6,
12-06-2006,36.1,29.1,41.3,
13-06-2006,32.5,27,37.3,
14-06-2006,33.2,24.6,39.1,
15-06-2006,31.8,24.2,41,3
16-06-2006,29.5,22,39,0
17-06-2006,28.8,20.6,34.5,14
18-06-2006,32,23.2,37.6,0
19-06-2006,30.4,22.6,38,
20-06-2006,27.7,19.6,37.1,14
21-06-2006,31.8,20.5,39,14
22-06-2006,33.3,24.6,39.1,0
23-06-2006,35.1,26.4,39.9,
24-06-2006,31,,37.8,
25-06-2006,30.2,25.2,32.5,
26-06-2006,32.2,24.8,36.6,
27-06-2006,29.1,21.5,33.2,52.1
28-06-2006,30.9,25.2,34.7,17
29-06-2006,31.3,24.8,35.8,0
30-06-2006,31.6,25.3,36,
01-07-2006,32.7,25.4,37,
02-07-2006,34.3,26.1,39.4,
03-07-2006,34.7,26.5,39.5,
04-07-2006,34.8,28.4,39.6,
05-07-2006,33.8,27.4,37.5,
06-07-2006,33.7,26.3,38.1,
07-07-2006,35.6,27.1,40.4,
08-07-2006,35,29.8,39.2,
09-07-2006,28.7,,,
10-07-2006,27.8,24.2,31.5,
11-07-2006,28.3,26.2,33.5,
12-07-2006,27.5,25.6,29,67.1
13-07-2006,30.6,25.7,34.6,8.9
14-07-2006,32.2,27.5,35.5,0
15-07-2006,31.9,28.6,36.3,
16-07-2006,32.5,28.4,36.9,
17-07-2006,31.4,28.8,34.8,
18-07-2006,29.4,26.1,32.8,
19-07-2006,28.5,27.2,33.2,
20-07-2006,29.2,27.1,32.1,
21-07-2006,31.5,27.2,36,
22-07-2006,31.8,27.9,35.2,
23-07-2006,31,27.6,35.1,
24-07-2006,31.2,28.2,35.6,
25-07-2006,29.6,,34.8,
26-07-2006,26.4,,28.2,
27-07-2006,26.3,24.8,28,
28-07-2006,28.7,25,32.6,
29-07-2006,29.7,26,33.8,2
30-07-2006,31.4,26.7,35.4,2
31-07-2006,30.9,,36.2,0
01-08-2006,30,26.7,33.7,0
02-08-2006,30.3,26,34.8,
03-08-2006,29.2,,33.6,
04-08-2006,31,26.5,35.7,
05-08-2006,30.5,26.5,35,
06-08-2006,30.3,27.2,34.5,
07-08-2006,30.4,26.2,34.6,0
08-08-2006,28.7,25.8,33.7,0.8
09-08-2006,30.5,26.5,35.3,1
10-08-2006,31.6,26.2,37.9,2
11-08-2006,31.4,26,36.5,0.3
12-08-2006,32.5,27.7,37,0
13-08-2006,32.3,28.6,38.4,
14-08-2006,28.3,,33.6,
15-08-2006,31,25.6,37.2,
16-08-2006,31.3,27.1,37.3,
17-08-2006,32.6,28.1,37.6,
18-08-2006,32.7,29.2,36.6,
19-08-2006,30.6,27.1,35.7,
20-08-2006,30.2,25.9,33.6,
21-08-2006,31.1,27.7,34.5,
22-08-2006,30.8,27.8,36.2,
23-08-2006,29.7,26.8,34,0
24-08-2006,31.4,26.5,35.3,19.1
25-08-2006,30.7,27.2,35.2,0
26-08-2006,30.7,26.7,34.8,
27-08-2006,30.8,26.2,34.4,
28-08-2006,30.4,25.6,34.7,
29-08-2006,29.3,,36.1,
30-08-2006,28.1,23.3,33.7,58.9
31-08-2006,30,25.2,34.3,0
01-09-2006,25.9,,29.1,7.1
02-09-2006,25.1,23.1,29.6,52.1
03-09-2006,27.7,22.9,32.8,30
04-09-2006,28.2,24.4,32.4,0
05-09-2006,29.9,25.7,35.1,
06-09-2006,29.5,26.8,35.6,
