date,tavg,tmin,tmax,prcp
17-12-2005,24.9,15.4,32.7,
18-12-2005,23.8,13.8,31.5,
19-12-2005,22.7,13.5,,
20-12-2005,22.1,13.5,28.8,
21-12-2005,21.7,11.6,28.3,
22-12-2005,22.4,14,27.6,
23-12-2005,22.1,,27.3,
24-12-2005,24,13.3,30.3,
25-12-2005,25.2,,32.3,
26-12-2005,24.1,,32.3,
27-12-2005,23.7,14.3,29.3,
28-12-2005,24.5,,32.5,
29-12-2005,23.6,14.9,30.5,
30-12-2005,23.4,14.3,29.2,
31-12-2005,24.8,13.7,32.3,
01-01-2006,23.1,15.2,31.8,
02-01-2006,22.7,15.9,27.5,
03-01-2006,22.9,17,,
04-01-2006,23.9,15.5,32.7,
05-01-2006,23.9,16.1,33.6,
06-01-2006,25.2,16.2,32.3,
07-01-2006,24.9,15.7,34.8,
08-01-2006,26.1,16.7,34.7,
09-01-2006,26.8,18.6,34.8,
10-01-2006,27.2,18.3,34.4,
11-01-2006,26.1,18,35.3,
12-01-2006,24.7,17.2,30.8,
13-01-2006,24.4,15.5,33.3,
14-01-2006,25.1,15.2,34,
15-01-2006,27.3,,37.4,
16-01-2006,26.4,18.9,34.1,
17-01-2006,25.4,18.1,32.3,
18-01-2006,25.5,18,31.2,
19-01-2006,25.4,18,34.9,
20-01-2006,24.6,18.2,32.5,
21-01-2006,24.7,16.9,,
22-01-2006,23.3,16,29.8,
23-01-2006,22.2,16.2,27.8,
24-01-2006,22.7,13.4,30.5,
25-01-2006,23.9,14.5,30.7,
26-01-2006,23.9,,33.6,
27-01-2006,23.2,13.6,33.7,
28-01-2006,24.8,13,35,
29-01-2006,25.1,,34.3,
30-01-2006,25.2,14.6,35.8,
31-01-2006,25.7,14.9,36,
01-02-2006,25.8,17.4,33.5,
02-02-2006,26.6,16.4,36.2,
03-02-2006,27.1,17.8,37.5,
04-02-2006,27.4,17.8,,
05-02-2006,27.2,16.4,35.8,
06-02-2006,26.9,15.6,34.7,
07-02-2006,26,15.3,33.2,
08-02-2006,25.8,16.6,33.3,
09-02-2006,26.1,16,35.1,
10-02-2006,25.7,16.6,33.6,
11-02-2006,26.2,16.3,36.8,
12-02-2006,26.9,16.4,35,
13-02-2006,26.2,18.5,35.4,
14-02-2006,26.3,18.2,32.5,
15-02-2006,26.6,20.5,32.6,
16-02-2006,25.8,17.8,32.5,
17-02-2006,25.3,17.1,,
18-02-2006,26.2,18.6,33.8,
19-02-2006,27.7,18.6,35.1,
20-02-2006,28.5,19.8,36.2,
21-02-2006,29.1,21.2,36,
22-02-2006,26.5,21.5,32.4,
23-02-2006,28.6,21.3,34.1,
24-02-2006,30.3,20.9,,
25-02-2006,27.4,21.4,34,
26-02-2006,26.4,23.5,31.7,
27-02-2006,27.1,22.3,32,
28-02-2006,27.1,22,33.5,
01-03-2006,27.2,22.6,33.4,
02-03-2006,28.4,22,33.3,
03-03-2006,27.3,21.5,33.3,
04-03-2006,26.4,,33.7,
05-03-2006,25.4,16.2,31.3,
06-03-2006,25.1,18,30.5,
07-03-2006,25.4,20,30.5,
08-03-2006,25.8,20.4,30.7,
09-03-2006,22.8,,,1
10-03-2006,24.8,18.5,29,11.9
11-03-2006,24.6,,29.3,0
12-03-2006,25,18.7,30,
13-03-2006,26.4,19.1,31.6,
14-03-2006,26.6,21,31.5,
15-03-2006,26.1,,30,
16-03-2006,25.9,21.6,30.2,
17-03-2006,26.7,21,31.7,
18-03-2006,26.8,22.1,31.7,
19-03-2006,28.3,22.7,35.5,
20-03-2006,28.2,23.5,35.2,
21-03-2006,27.4,21.8,32.3,
22-03-2006,30,20.8,36,
23-03-2006,28.8,23,34.3,
24-03-2006,28,22.6,33.2,
25-03-2006,28.1,21.5,,
26-03-2006,28,,34,
27-03-2006,27,20.2,31.9,
28-03-2006,28.9,20.5,33.8,
29-03-2006,30.9,19.7,38,
30-03-2006,29.3,21.8,37.5,
31-03-2006,27.6,,31.5,
01-04-2006,27.9,23,32.5,
02-04-2006,27.8,22.3,32.8,
03-04-2006,27.4,21.3,31.8,
04-04-2006,27.7,21.7,33.7,
05-04-2006,28.2,22,32.9,
06-04-2006,27.7,23.6,31.9,
07-04-2006,27.8,23.6,32.3,
08-04-2006,27.7,22.6,33.3,
09-04-2006,28,23.7,33.2,
10-04-2006,27.9,23.2,32.6,
11-04-2006,27.2,24,31.4,
12-04-2006,26.8,,31,
13-04-2006,27.3,22.2,31.2,
14-04-2006,27.9,22,32.5,
15-04-2006,28.4,22.6,32.8,
16-04-2006,27.7,24.5,31.9,
17-04-2006,27.5,24,31.9,
18-04-2006,27.7,24.1,31.6,
19-04-2006,28.8,24.2,34,
20-04-2006,28.8,23.8,35.3,
21-04-2006,29.1,25.5,33.7,
22-04-2006,28.5,25.4,32.6,
23-04-2006,28,24.9,32.2,
24-04-2006,27.8,24,32.6,
25-04-2006,27.9,23.9,32.5,
26-04-2006,27.8,24.6,32.1,
27-04-2006,27.7,24.1,32,
28-04-2006,27.9,23.9,31.8,
29-04-2006,28,24.5,32.1,
30-04-2006,28,24.5,32.1,
01-05-2006,28.2,24.8,32.1,
02-05-2006,28.7,24.7,33,
03-05-2006,28.4,25.8,33,
04-05-2006,28.6,25.1,33,
05-05-2006,28.8,25.6,32.9,
06-05-2006,28.7,26,33,
07-05-2006,28.6,25.3,32.6,
08-05-2006,28.6,,33.5,
09-05-2006,28.9,25.6,,0
10-05-2006,28.8,25.8,33.2,
11-05-2006,29,25.3,33.2,
12-05-2006,29.1,25.4,33.8,
13-05-2006,29,,33.5,
14-05-2006,29.4,25.4,34,
15-05-2006,29.3,25.9,33.7,
16-05-2006,29.6,26.5,34.1,
17-05-2006,29.6,25.6,34.5,
18-05-2006,29.5,26.3,33.6,
19-05-2006,29.5,27.2,33.8,
20-05-2006,29.7,,33.9,
21-05-2006,29.8,,33.7,
22-05-2006,30,,35.2,
23-05-2006,30.1,28.6,34.2,
24-05-2006,29.9,28.8,33.8,
25-05-2006,29.9,,33.8,
26-05-2006,30.2,28.9,34.1,
27-05-2006,30.5,,34.5,
28-05-2006,30,,33.4,0
29-05-2006,30.2,28.9,34.6,
30-05-2006,28.9,,34,
31-05-2006,25.8,,30.7,45
01-06-2006,25.6,23.2,,180.1
02-06-2006,27.3,24,30.8,15
03-06-2006,27.3,,32.1,0.3
04-06-2006,27.9,25.6,32.6,5.1
05-06-2006,28.6,,32.6,0
06-06-2006,28.6,,,
07-06-2006,28.9,24.5,33,3
08-06-2006,29.3,27,33,0
09-06-2006,29.2,,33.7,0.3
10-06-2006,29.3,26.2,33.3,0
11-06-2006,29.4,,33.1,0
12-06-2006,29.1,26.1,33,2
13-06-2006,28.8,26.6,33,0
14-06-2006,29.3,27.5,33.5,0.3
15-06-2006,29.3,27.6,33.5,1
16-06-2006,29.7,27.2,33.5,6.1
17-06-2006,29.6,,33.6,0
18-06-2006,30.1,27.6,34,8.9
19-06-2006,29.2,,34,0
20-06-2006,28.5,,33.8,
21-06-2006,28.4,,34,0
22-06-2006,27.8,,33.3,0
